Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
Brazil,BRA,2008-01-01,1695824571927.15,5.09085791114555,90.7662937251917,13.7235688651799,13.5340005931565,192979029
Brazil,BRA,2009-01-01,1667019780934.28,-0.125775153627558,95.2029817480311,11.2546045998527,10.8513711366774,194895996
Brazil,BRA,2010-01-01,2208871646202.82,7.54179863570168,100,11.779207982198,10.738199419586,196796269
Brazil,BRA,2011-01-01,2616201578192.25,3.98527761463821,106.636369352532,12.2355178318529,11.4661380108044,198686688
Brazil,BRA,2012-01-01,2465188674415.03,1.93310788929955,112.398522504251,13.0622502471567,11.703054773239,200560983
Brazil,BRA,2013-01-01,2472806919901.67,3.01030558066189,119.372104441451,13.9316781637998,11.6301821266673,202408632
Brazil,BRA,2014-01-01,2455993625159.37,0.508210254249647,126.927346648276,13.6734629958056,11.0119428207843,204213133
Brazil,BRA,2015-01-01,1802214373741.32,-3.54976724660116,138.388641316635,14.0534345199388,12.9001914177405,205962108
Brazil,BRA,2016-01-01,1793989048409.29,-3.46816285562606,150.482602233368,12.0796638879327,12.4946188451866,207652865
Brazil,BRA,2017-01-01,2055505502224.73,0.97608568137602,155.668786230018,11.5521825807466,12.5675743733851,209288278
